latin,english,french,spanish,chinese,cas,pl_list
dihexyverinum,dihexyverine,dihexyvérine,dihexiverina,双己维林,,pl04
dihydralazinum,dihydralazine,dihydralazine,dihidralazina,双肼屈嗪,,pl04
dimazolum,dimazole,dimazol,dimazol,地马唑,,pl04
dithranolum,dithi nol,dithranol,ditranol,,,pl04
edrophonii chloridlum,edr.phonium chloride,,,,,pl04
ergometrinum,ergometrine,,,,,pl04
ergotaminum,ergotamine,,,,,pl04
erythromycinum,erythromycin,érythromycine,eritromicina,红霉素,,pl04
ethaverinum,ethav tine,éthavérine,etaverina,,,pl04
gitahurun amorphum,gitahurun amorph,,,,,pl04
gitalin amorphous,,,,,,pl04
glyceilum,glycerol.,,,,,pl04
hexylcainum,hexyicaine,hexylcaïne,hexilcaína,,,pl04
hydroxystilbamidinum,hydroxystilbamidine,hydroxystilbamidine,hidroxiestilbamidina,羟巴脒,,pl04
isophanum insulinum,isophane insulin,isophane insuline,insulina isófana,低精蛋白胰岛素,,pl04
levorphanolum,levorphanol,,,,,pl04
levothyroxinum natricum,levothyroxine sodium,lévothyroxine sodique,levotiroxina de sodio,左甲状腺素钠,,pl04
lobelinum,lobeline,lobéline,lobelina,洛贝林,,pl04
rucanthonum,"macrogolum,400",,,,,pl04
meclozinum,meclozine,méclozine,meclozina,美克洛嗪,,pl04
metarsoprelum,melarsoprol,mélarsoprol,melarsoprol,美拉胂醇,,pl04
mepacrinum,mcpacrine,mépacrine,mepacrina,,,pl04
meprykcainum,meprykaune,,,,,pl04
mersalylum,mersalyl,mersalyl,mersalilo,汞撒利,,pl04
methioninum,methionine,méthionine,metionina,甲硫氨酸,,pl04
methoxammum,methexamine,,,,,pl04
methylcellulosum,methylcellulose,méthylcellulose,metilcelulosa,甲基纤维素,,pl04
methylpentynolum,methylpentynol,méthylpentynol,metilpentinol,甲戊炔醇,,pl04
methyltestosteronum,methyftestosterone,méthyltestostérone,metiltestosterona,,,pl04
neoarsphenaminum,neoarsphenamine,néoarsphénamine,neoarsfenamina,新胂凡纳明,,pl04
neostigmini bromidum,neostigmine bromide,bromure de néostigmine,bromuro de neostigmina,溴新斯的明,,pl04
nicethamidum,nikethamide,nicéthamide,niquetamida,尼可刹米,,pl04
nicotinamidum,nicotinamide,nicotinamide,nicotinamida,烟酰胺,,pl04
qestradiolum,pestradiol,,,,,pl04
qestronum,destrone,,,,,pl04
pamaquinum,pamaquin,pamaquine,pamaquina,,,pl04
pentaquinum,pentaquin,pentaquine,pentaquina,,,pl04
pentetrazolum,pentetrazol,pentétrazol,pentetrazol,戊四氮,,pl04
pentolonium,pentoloni,,,,,pl04
pentolonium,pentoloni,,,,,pl04
pethidinum,pethidine,,,,,pl04
phenacainum,phenacaine,phénacaïne,fenacaína,非那卡因,,pl04
phenacelinum,phenacetin,phénacétine,fenacetina,非那西丁,,pl04
phenazonum,phenazone,phénazone,fenazona,安替比林,,pl04
phenazopyridinum,phenazopyridine,phénazopyridine,fenazopiridina,非那吡啶,,pl04
phenobarbitalum,phenobarbital,,,,,pl04
phenobarbitalum natricum,phenobarbital sodium,phénobarbital sodique,fenobarbital de sodio,苯巴比妥钠,,pl04
phenytoinum,phenytoin,phénytoïne,fenitoína,苯妥英,,pl04
pramocainum,pramocaine,pramocaïne,pramocaína,普莫卡因,,pl04
primidonum,primidone,primidone,primidona,扑米酮,,pl04
progesteronum,progesterone,progestérone,progesterona,黄体酮,,pl04
proguanilum,proguanil,proguanil,proguanil,氯胍,,pl04
propoxycainum,propoxycume,propoxycaïne,propoxicaína,,,pl04
quinisocainum,quinisocaine,quinisocaïne,quinisocaína,奎尼卡因,,pl04
reserpinum,reserpine,réserpine,reserpina,利血平,,pl04
riboflavinum,riboflavine,riboflavine,riboflavina,,,pl04
secobarbitalum,secobarbital,sécobarbital,secobarbital,司可巴比妥,,pl04
solasulfonum,solasulfone,solasulfone,solasulfona,苯丙砜,,pl04
succinylsulfathiazolum,succinylsulfathiazole,succinylsulfathiazol,succinilsulfatiazol,琥珀磺胺噻唑,,pl04
sulfadiazinum,sulfadiazine,sulfadiazine,sulfadiazina,磺胺嘧啶,,pl04
su fadiazinum natricum,suifadiazine sodium,,,,,pl04
sulfadicramidum,sulfadicramide,sulfadicramide,sulfadicramida,磺胺戊烯,,pl04
sulfaguanidinum,sulfaguanidine,sulfaguanidine,sulfaguanidina,磺胺脒,,pl04
sulfamerazinum,sulfamerazine,sulfamérazine,sulfamerazina,磺胺甲嘧啶,,pl04
sulfamerazinum natricum,sulfamerazine sodium,sulfamérazine sodique,sulfamerazina de sodio,磺胺甲嘧啶钠,,pl04
sulfanilamidum,sulfanilamide,sulfanilamide,sulfanilamida,磺胺,,pl04
sulfaproxylinum,sulfaproxyline,sulfaproxyline,sulfaproxilina,磺胺普罗林,,pl04
sulfarsphenaminum,sulfarsphenamine,sulfarsphénamine,sulfarsfenamina,硫胂凡纳明,,pl04
sulfathiazolum,sulfathiazole,sulfathiazol,sulfatiazol,磺胺噻唑,,pl04
testosteronum,testosterone,testostérone,testosterona,睾酮,,pl04
tetrabarbitalum,tetrabarbital,tétrabarbital,tetrabarbital,替曲比妥,,pl04
tetracainum,tetracaine,tétracaïne,tetracaína,丁卡因,,pl04
tetracycluum,tetracycline,tétracycline,tetraciclina,四环素,,pl04
thialbarbitalum,thialbarbital,thialbarbital,tialbarbital,硫烯比妥,,pl04
thiaminum,thiamine,thiamine,tiamina,维生素B1,,pl04
thiopentalum natricum,thiopental sodium,thiopental sodique,tiopental de sodio,硫喷妥钠,,pl04
thiotetrabarbitalum,thiotetrabarbital,thiotétrabarbital,tiotetrabarbital,硫替比妥,,pl04
tolonii chloridum,tolonium chloride,chlorure de tolonium,cloruro de tolonio,托洛氯铵,,pl04
tosylchloramidum natricum,tosylchloramide sodium,tosylchloramide sodique,tosilcloramida de sodio,氯胺T钠,,pl04
tretanunum,tretamine,trétamine,tretamina,曲他胺,,pl04
tricyclamoli chloridum,tricyclamol chloride,chlorure de tricyclamol,cloruro de triciclamol,三环氯铵,,pl04
tryparsamidum,tryparsamide,tryparsamide,triparsamida,锥虫胂胺,,pl04
viomycinum,viomycin,viomycine,viomicina,紫霉素,,pl04
acctylmethadolum,acetylmethadol,acétylméthadol,acetilmetadol,醋美沙多,,pl05
alphacetylmethadolum,alphacetylmethadol,alphacétylméthadol,alfacetilmetadol,阿醋美沙多,,pl05
alphamethadolum,alphamethadol,alphaméthadol,alfametadol,阿法美沙多,,pl05
anileridinum,anileridine,aniléridine,anileridina,阿尼利定,,pl05
betacetylmethadolum,betacetylmethadol,bétacétylméthadol,betacetilmetadol,倍醋美沙多,,pl05
betamethadolum,etamethadol,bétaméthadol,betametadol,,,pl05
betaprodinum,betaprodine,bétaprodine,betaprodina,倍他罗定,,pl05
desomorphinum,desomorphine,désomorphine,desomorfina,地索吗啡,,pl05
dimepheptanolum,dunepheplanol,dimépheptanol,dimefeptanol,,,pl05
dipipanonum,dipipanone,dipipanone,dipipanona,地匹哌酮,,pl05
ethoheptazinum,ethoheptazine,éthoheptazine,etoheptazina,依索庚嗪,,pl05
hydroxypethidinum,hydtoxypethidine,hydroxypéthidine,hidroxipetidina,,,pl05
melethoheptazinum,metethoheplazine,,,,,pl05
mctheptazinum,methentazine,,,,,pl05
methyldesorphinum,methy ldesorphine,méthyldésorphine,metildesorfina,,,pl05
methyldihydromorphinum,methyldihydromorphine,méthyldihydromorphine,metildihidromorfina,甲二氢吗啡,,pl05
myrophinum,myrophine,myrophine,mirofina,麦罗啡,,pl05
normethadonum,normethadone,norméthadone,normetadona,去甲美沙酮,,pl05
oxphencridinum,oxpheneridine~,,,,,pl05
oxymorphonum,oxymorphone,,,,,pl05
pheneridinum,pheneridine,phénéridine,feneridina,苯乙利定,,pl05
henomorphanum,phenomorphan,phénomorphane,fenomorfano,非诺啡烷,,pl05
proheptazinum,proheptazine,proheptazine,proheptazina,普罗庚嗪,,pl05
propcridinum,properidinc,,,,,pl05
propoxyphenum,propoxyphene,,,,,pl05
thebaconum,thebacon,thébacone,tebacón,醋氢可酮,,pl05
acenocoumarolum,acenocoumarol,acénocoumarol,acenocumarol,醋硝香豆素,,pl06
acepromazinum,acepromazinc,acépromazine,acepromazina,,,pl06
acetazolamidum,acetazolamide,acétazolamide,acetazolamida,乙酰唑胺,,pl06
acidum edeticum,cdetic acid,acide édétique,ácido edético,,,pl06
aldosteronum,aldosterone,aldostérone,aldosterona,醛固酮,,pl06
ambenonii chloridum,ambenonium chloride,chlorure d'ambénonium,cloruro de ambenonio,安贝氯铵,,pl06
ambucainum,ambucaine,ambucaïne,ambucaína,氨布卡因,,pl06
ambucetamidum,ambucetamide,ambucétamide,ambucetamida,氨布醋胺,,pl06
aminometiadinum,aminometradine,aminométradine,aminometradina,氨美啶,,pl06
amiphenazolum,amiphenazole,amiphénazol,amifenazol,阿米苯唑,,pl06
amisometradinum,amisometradine,amisométradine,amisometradina,阿米美啶,,pl06
amolanonum,amolanone,amolanone,amolanona,阿莫拉酮,,pl06
azacyclonolum,azacyclonol,azacyclonol,azaciclonol,阿扎环醇,,pl06
bemegridum,bemegride,bémégride,bemegrida,贝美格,,pl06
benactyzinum,benactyzine,bénactyzine,benacticina,贝那替秦,,pl06
benzonatatum,benzonatate,benzonatate,benzonatato,苯佐那酯,,pl06
betazolum,betazole,bétazole,betazol,倍他唑,,pl06
bietamiverinum,bietamiverine,biétamivérine,bietamiverina,比坦维林,,pl06
busulfanum,busulfan,busulfan,busulfano,白消安,,pl06
captodiamum,captodiame,captodiame,captodiamo,卡普托胺,,pl06
chlorambucilum,chlorambucii,chlorambucil,clorambucilo,,,pl06
chlordimorinum,chlordimorine,chlordimorine,clordimorina,氯地吗啉,,pl06
chlorhexidinum,chlorhexidine,chlorhexidine,clorhexidina,氯己定,,pl06
chlorisondamini chloridum,chlorisondaminc chloride,chlorure de chlorisondamine,cloruro de clorisondamina,,,pl06
chloroprocainum,chloroprocaine,chloroprocaïne,cloroprocaína,氯普鲁卡因,,pl06
chlorotrianisenum,chalorotrianisene,chlorotrianisène,clorotrianiseno,,,pl06
chloroxylenolum,chloroxylenol,chloroxylénol,cloroxilenol,氯二甲酚,,pl06
cinnofuradionum,cinnofuradione,cinnofuradione,cinofuradiona,辛呋二酮,,pl06
clidinii bromidum,clidinium bromide,bromure de clidinium,bromuro de clidinio,克利溴铵,,pl06
corticotrophinum-zinci hydroxydum,corticotrophin-zinc hydroxide,,,,,pl06
crotamitonum,crotamiton,crotamiton,crotamitón,克罗米通,,pl06
cryofluoranum,cryofluorane,cryofluorane,criofluorano,克立氟烷,,pl06
cyclomethycainum,cyclomethycaine,cyclométhycaïne,ciclometicaína,环美卡因,,pl06
cycloserinum,cycloserine,cyclosérine,cicloserina,环丝氨酸,,pl06
demecolcinum,demecolcine,démécolcine,demecolcina,秋水仙胺,,pl06
deserpidinum,deserpidine,déserpidine,deserpidina,地舍平,,pl06
dextromoramidum,dextromoramide,dextromoramide,dextromoramida,右吗拉胺,,pl06
dichlorophenum,dichlorophen,dichlorophène,diclorofeno,双氯酚,,pl06
dicycloverinum,dicycloverine,dicyclovérine,dicicloverina,双环维林,,pl06
dimethoxanatum,dimethoxanate,diméthoxanate,dimetoxanato,地美索酯,,pl06
dioxethedrinum,dioxethedrin,dioxéthédrine,dioxetedrina,二羟西君,,pl06
diphenadionum,diphenadione,diphénadione,difenadiona,二苯茚酮,,pl06
diphenylpyralinum,diphenylpyraline,diphénylpyraline,difenilpiralina,二苯拉林,,pl06
dipyrocetylum,dipyrocetyl,dipyrocétyl,dipirocetilo,地匹乙酯,,pl06
dycloninum,dyclonine,dyclonine,diclonina,达克罗宁,,pl06
ecothiopati rodidum,ecothiopate iodide,iodure d'écothiopate,ioduro de ecotiopato,碘依可酯,,pl06
endomycinum,endomycin,endomycine,endomicina,恩多霉素,,pl06
etamiphyllinum,etamiphyllin,étamiphylline,etamifilina,,,pl06
ethinamatum,ethinamate,éthinamate,etinamato,炔己蚁胺,,pl06
ethotoinum,ethotoin,éthotoïne,etotoína,乙苯妥英,,pl06
ethylphenacemidum,ethylphenacemide,,,,,pl06
ethypiconum,ethypicone,éthypicone,etipicona,乙匹康,,pl06
etoxeridinum,etoxeridine,étoxéridine,etoxeridina,依托利定,,pl06
florantyronum,florantyrone,florantyrone,florantirona,夫洛梯隆,,pl06
fluoxymesteronum,fluoxymesterone,fluoxymestérone,fluoximesterona,氟甲睾酮,,pl06
forminitrazolum,forminitrazole,forminitrazol,forminitrazol,福米硝唑,,pl06
glucurolactonum,glucurolactone,glucurolactone,glucurolactona,葡醛内酯,,pl06
glutethimidum,glutethimide,,,,,pl06
halothanum,halothane,halothane,halotano,氟烷,,pl06
hexetidinum,hexetidine,hexétidine,hexetidina,海克替啶,,pl06
histapyrrodinum,histapyrrodine,histapyrrodine,histapirrodina,希司咯定,,pl06
homarylaminum,homarylamine,homarylamine,homarilamina,后马胺,,pl06
hydroxyzinum,hydroxyzine,hydroxyzine,hidroxizina,羟嗪,,pl06
isometheptenum,isometheptene,isométheptène,isometepteno,异美汀,,pl06
isothipendylum,isothipendyl,isothipendyl,isotipendilo,异西喷地,,pl06
lauralkonii chloridum,lauralkonium chloride,chlorure de lauralkonium,cloruro de lauralconio,劳拉氯铵,,pl06
leucovorinum,leucovorin,,,,,pl06
levomoramidum,levomoramide,lévomoramide,levomoramida,左吗拉胺,,pl06
liothyroninum,liothyronine,liothyronine,liotironina,碘塞罗宁,,pl06
mecamylaminum,mecamylamine,mécamylamine,mecamilamina,美卡拉明,,pl06
meprobamatum,mercaptopurine,mercaptopurine,mercaptopurina,巯嘌呤,,pl06
mesuximidum,mesuximide,mésuximide,mesuximida,甲琥胺,,pl06
methallenestrilum,methallenestril,méthallénestril,metalenestrilo,美沙雌酸,,pl06
methituralum,methitural,méthitural,metitural,美西妥拉,,pl06
methocidinum,methocidin,méthocidine,metocidina,美索菌素,,pl06
methopromazinum,methopromazine,méthopromazine,metopromazina,美索丙嗪,,pl06
methoxyphedrinum,methoxyphedrine,méthoxyphédrine,metoxifedrina,甲氧非君,,pl06
methylphenidatum,methylphenidat,méthylphénidate,metilfenidato,,,pl06
methyprylonum,methyprylon,méthyprylone,metiprilón,甲乙哌酮,,pl06
midamalinum,midamaline,midamaline,midamalina,咪达马林,,pl06
monobenzonum,monobenzone,monobenzone,monobenzona,莫诺苯宗,,pl06
morpheridinum,morpheridine,morphéridine,morferidina,吗哌利定,,pl06
nidroxyzonum,nidroxyzonc,nidroxyzone,nidroxizona,,,pl06
notethandrolonum,norethandrolone,noréthandrolone,noretandrolona,诺乙雄龙,,pl06
norethisteronum,norethisterone,noréthistérone,noretisterona,炔诺酮,,pl06
novobiocinum,novobiocin,novobiocine,novobiocina,新生霉素,,pl06
nystatinum,nystatin,nystatine,nistatina,制霉菌素,,pl06
oleandomycinum,oleandomycin,oléandomycine,oleandomicina,竹桃霉素,,pl06
ostreogrycinum,ostreogrycin,ostréogrycine,ostreogricina,奥斯立星,,pl06
oxeladinum,oxeladin,oxéladine,oxeladina,奥昔拉定,,pl06
oxycinchophenum,oxycinchophen,oxycinchophène,oxicincofeno,羟辛可芬,,pl06
pentacynii chloridum,pentacynium chloride,chlorure de pentacynium,cloruro de pentacinio,喷他氯铵,,pl06
pentoxyverinum,pentoxyverine,pentoxyvérine,pentoxiverina,喷托维林,,pl06
petrichloralum,petrichloral,pétrichloral,petricloral,培曲氯醛,,pl06
phenaglycodolum,phenaglycodol,phénaglycodol,fenaglicodol,非那二醇,,pl06
phenamazolinum,phenamazoline,phénamazoline,fenamazolina,非那唑啉,,pl06
phenmetrazinum,phenmetrazine,phenmétrazine,fenmetrazina,芬美曲秦,,pl06
phenobutiodilum,phenobutiodil,phénobutiodil,fenobutiodil,碘芬布酸,,pl06
phenoxybenzaminum,phenoxybenzamine,phénoxybenzamine,fenoxibenzamina,酚苄明,,pl06
phenoxymethylpenicillinum,phenoxymethylpenicillin,phénoxyméthylpénicilline,fenoximetilpenicilina,青霉素V,,pl06
phensuximidum,phensuximide,phensuximide,fensuximida,苯琥胺,,pl06
phenythilonum,phenythilone,phénythilone,fenitilona,苯西酮,,pl06
phenyltoloxaminum,phenyltoloxamine,phényltoloxamine,feniltoloxamina,苯托沙敏,,pl06
phthalylsulfamethizolum,phthalylsulfamethizole,phtalylsulfaméthizol,ftalilsulfametizol,酞磺胺美唑,,pl06
pimetremidum,pimetremide,pimétrémide,pimetremida,匹美酰胺,,pl06
pipenzolati bromidum,pipenzolate bromide,bromure de pipenzolate,bromuro de pipenzolato,溴哌喷酯,,pl06
piperidolatum,piperidolate,pipéridolate,piperidolato,哌立度酯,,pl06
prodeconii bromidum,prodeconium bromide,bromure de prodéconium,bromuro de prodeconio,丙癸溴铵,,pl06
promazinum,promazine,promazine,promazina,丙嗪,,pl06
tetryzolinum,tetryzoline,tétryzoline,tetrizolina,四氢唑啉,,pl06
thenalidinum,thenalidine,thénalidine,tenalidina,西那利定,,pl06
thyrotrophinum,thyrotrophin,thyrotrophine,tirotrofina,促甲状腺素,,pl06
tolbutamidum,tolbutamide,tolbutamide,tolbutamida,甲苯磺丁脲,,pl06
toolproninum,tolpronine,tolpronine,tolpronina,托普罗宁,,pl06
tridthexethyli iodidum,tridihexethyl iodide,iodure de tridihexéthyl,ioduro de tridihexetilo,曲地碘铵,,pl06
trimeperidinum,trimeperidine,trimépéridine,trimeperidina,三甲利定,,pl06
triprolidinum,triprolidine,triprolidine,triprolidina,曲普利啶,,pl06
vancomycinum,vancomycin,vancomycine,vancomicina,万古霉素,,pl06
verazidum,verazide,vérazide,verazida,维拉烟肼,,pl06
zoxazolaminum,zoxazolamine,ène,zoxazolamina,氯苯唑胺,,pl06
cainum,caine,,,,,pl06
sulfonum,sulfone,,,,,pl06
quinum,quine,,,,,pl06
crinum,crine,,,,,pl06
dionum,dione,,,,,pl06
toinum,toin,,,,,pl06
stigminum,stigmine,,,,,pl06
dextropropoxyphenum,dextropropoxyphene,dextropropoxyphène,dextropropoxifeno,右丙氧芬,,pl07
dimenoxadolum,dimenoxadol,diménoxadol,dimenoxadol,地美沙多,,pl07
levopropoxyphenum,levopropoxyphen,lévopropoxyphène,levopropoxifeno,,,pl07
devoprexyphenum,levopropoxyphene,lévopropoxyphène,levopropoxifeno,左丙氧芬,,pl07
nicomorphinum,nicomorphine,nicomorphine,nicomorfina,尼可吗啡,,pl07
norcodeinum,norcodeine,norcodéine,norcodeína,去甲可待因,,pl07
normorphinum,normorphine,normorphine,normorfina,去甲吗啡,,pl07
noscapinum,noscapine,noscapine,noscapina,那可丁,,pl07
acetylmethadolum,acetylmethadol,acétylméthadol,acetilmetadol,醋美沙多,,pl07
alphacetylmethadolum,alphacetylmethadol,alphacétylméthadol,alfacetilmetadol,阿醋美沙多,,pl07
alphamethadolum,alphamethadol,alphaméthadol,alfametadol,阿法美沙多,,pl07
anileridinum,anileridine,aniléridine,anileridina,阿尼利定,,pl07
betacctylmethadolum,betacctylmethadol,,,,,pl07
betamethadolum,betamethadol,bétaméthadol,betametadol,倍他美沙多,,pl07
betaprodinum,betaprodine,bétaprodine,betaprodina,倍他罗定,,pl07
desomorphinum,desomorphine,désomorphine,desomorfina,地索吗啡,,pl07
diethylthiambutenum,diethylthiambutene,diéthylthiambutène,dietiltiambuteno,二乙噻丁,,pl07
dimethylthiambutcnum,dimethylthiambutene,diméthylthiambutène,dimetiltiambuteno,二甲噻丁,,pl07
dipipanonum,dipipanone,dipipanone,dipipanona,地匹哌酮,,pl07
ethoheptazinum,cthohcptazine,éthoheptazine,etoheptazina,,,pl07
cthylmethylthiambutenum,cthylmethylthiambutenc,,,,,pl07
hydroxypethidinum,hydroxypethidine,hydroxypéthidine,hidroxipetidina,羟哌替啶,,pl07
levallor phanum,levallorphan,lévallorphane,levalorfano,左洛啡烷,,pl07
levorphanolum,levorphanol,,,,,pl07
metethoheptazinum,metethoheptazine,météthoheptazine,metetoheptazina,美索庚嗪,,pl07
metheptazinum,metheptazine,métheptazine,metoheptazina,美庚嗪,,pl07
mcthyldesorphinum,methyldesorphine,méthyldésorphine,metildesorfina,甲地索啡,,pl07
methyldihydromorphinum,methyldihydromorphine,méthyldihydromorphine,metildihidromorfina,甲二氢吗啡,,pl07
myrophinum,myrophine,myrophine,mirofina,麦罗啡,,pl07
normelhadonum,normethadone,norméthadone,normetadona,去甲美沙酮,,pl07
oxpheneridinum,oxphencridine,oxphénéridine,oxofeneridina,,,pl07
oxymorphonum,oxymorphone,,,,,pl07
phenomorphanum,phenomorphan,phénomorphane,fenomorfano,非诺啡烷,,pl07
proheptazinum,proheptazine,proheptazine,proheptazina,普罗庚嗪,,pl07
properidinum,properidine,propéridine,properidina,丙哌利定,,pl07
propoxyphenum,propoxyphene,,,,,pl07
acetyldigitoxinum,acctyldigitoxin,acétyldigitoxine,acetildigitoxina,,,pl08
acidum trethocanicum,trethocanic acid,acide tréthocanique,ácido tretocánico,曲索卡酸,,pl08
alimemazinum,alimemazine,alimémazine,alimemazina,阿利马嗪,,pl08
amanozinum,amanozine,amanozine,amanozina,阿马诺嗪,,pl08
ambazonum,ambazone,ambazone,ambazona,安巴腙,,pl08
